Title,Price,Currency,Source,Price_USD
"MoEx Coque très Fine en Silicone Compatible avec Samsung Galaxy S Duos 2 | Style Aluminium brossé, Rouge Bordeaux",7.0,EUR,Amazon FR,7.80213
"MoEx Coque très Fine en Silicone Compatible avec Samsung Galaxy Note8 | Style Aluminium brossé, Noir",9.0,EUR,Amazon FR,10.03131
"For Samsung Galaxy S25 Ultra 6.8"" Case Shockproof MagSafe Magnetic Matte Cover",10.92,USD,eBay,10.92
MoEx,9.0,GBP,Amazon CO.UK,11.80449
"MoEx Verre trempé Compatible avec Samsung Galaxy A51 - Film de Protection en Verre, Film Protecteur d'écran incassable, Film de Verre Pare-balles Transparent, Lot de 2",11.0,EUR,Amazon FR,12.260489999999999
MoEx,11.0,GBP,Amazon CO.UK,14.42771
"MoEx Verre trempé Compatible avec Samsung Galaxy S20 / S20 5G - Film de Protection en Verre, Film Protecteur d'écran incassable, Film de Verre Pare-balles Transparent, Lot de 2",17.0,EUR,Amazon FR,18.94803
OneFlow,16.0,GBP,Amazon CO.UK,20.98576
"OneFlow Étui à Paillettes Compatible avec Samsung Galaxy A71 Max, Coque à Paillettes Antichoc, Coque de téléphone Strass Diamant, étui à Paillettes Scintillantes - Gloss - Rosé",19.0,EUR,Amazon FR,21.17721
OneFlow,19.0,GBP,Amazon CO.UK,24.920589999999997
New ListingSamsung Galaxy A15 5G - 128 GB - Black (Unlocked) Tiktok On It,25.0,USD,eBay,25.0
"Easy Bag Samsung Galaxy S23 Ultra, gris, Taille unique, Sportif",23.0,EUR,Amazon FR,25.635569999999998
MoEx,21.0,GBP,Amazon CO.UK,27.54381
"MoEx Premium Case + Film de Protection Compatible avec Samsung Galaxy S20 / S20 5G | Etui à Rabat - Protection Avant et arrière + Film pour téléphone, Noir",25.0,EUR,Amazon FR,27.86475
moex Étui horizontal confortable avec clip ceinture compatible avec Samsung Galaxy Note8 - Universel avec passant de ceinture et fermeture magnétique - Noir,27.0,EUR,Amazon FR,30.09393
