,Title,Price,Currency,Source,Price_USD,Link,Product
0,"Сумка для ноутбука Lenovo 15.6"" Laptop Casual Toploader T210 Черный",22.23076923076923,USD,Asaxiy,22.23076923076923,https://asaxiy.uz/compare,Lenovo
1,"Сумка для ноутбука Lenovo 15.6"" Laptop Casual Toploader T210 серый",23.0,USD,Asaxiy,23.0,https://asaxiy.uz/compare,Lenovo
2,Simsiz quloqchin Lenovo Live Pods LP5,24.23076923076923,USD,Zoodmall,24.23076923076923,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
3,Видеорегистратор LENOVO V7,38.38461538461539,USD,Asaxiy,38.38461538461539,https://asaxiy.uz/compare,Lenovo
4,Беспроводная мышь Lenovo 600 Bluetooth Silent Mouse серый,52.23076923076923,USD,Asaxiy,52.23076923076923,https://asaxiy.uz/compare,Lenovo
5,Видеорегистратор LENOVO HR 17,56.84615384615385,USD,Asaxiy,56.84615384615385,https://asaxiy.uz/compare,Lenovo
6,Monitor LENOVO Tesla Chevrolet Gentra va Lacetti uchun - 32 GB RAM-2 GB,107.6153846153846,USD,Zoodmall,107.6153846153846,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
7,Планшет Lenovo TAB M7 3/32Gb Gray,113.76923076923076,USD,Asaxiy,113.76923076923076,https://asaxiy.uz/compare,Lenovo
8,"Планшет Lenovo Tab M10 2/32Gb 10.1"" 4G Black",171.46153846153845,USD,Asaxiy,171.46153846153845,https://asaxiy.uz/compare,Lenovo
9,"Ноутбук Lenovo Ideapad 1 15IGL7, Celeron n4020, DDR4 4GB, SSD 256GB, 15.6 HD TN",216.84615384615384,USD,Asaxiy,216.84615384615384,https://asaxiy.uz/compare,Lenovo
10,"Ноутбук Lenovo V15 / Intel Celeron N4020 / DDR4 4 GB / SSD 256Gb / 15.6"" HD",226.84615384615384,USD,Asaxiy,226.84615384615384,https://asaxiy.uz/compare,Lenovo
11,"Noutbuk Lenovo V15 IGL | Intel Celeron N4020 | DDR4 4GB | SSD 256GB | 15.6"" TN FHD 1920×1080 60 Hz | Intel UHD Graphics | Grey | (82C3001NAK)",272.0769230769231,USD,Zoodmall,272.0769230769231,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
12,"Ноутбук Lenovo V15 G3 / Intel i3-1215U / DDR4 8GB / SSD 256GB / Intel Iris Xe Graphics / 15.6"" FHD (1920x1080) / Free Dos",342.2307692307692,USD,Asaxiy,342.2307692307692,https://asaxiy.uz/compare,Lenovo
13,"Ноутбук Lenovo V15 G4 / AMD R5-7520U / DDR 8GB / SSD 512GB / 15,6 FHD / Arctic Grey",369.1538461538461,USD,Asaxiy,369.1538461538461,https://asaxiy.uz/compare,Lenovo
14,"Noutbuk Lenovo V15 G4 AMN | AMD Ryzen Athlon 7120U | DDR5 8GB | SSD 256GB | 15.6"" IPS FHD 1920×1080 60 Hz | AMD Radeon Graphics | Grey",380.6923076923077,USD,Zoodmall,380.6923076923077,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
15,"Ноутбук Lenovo V15 G3 / Intel i5-1235U / DDR4 8GB / SSD 512GB / Intel Iris Xe Graphics / 15.6"" FHD (1920x1080) FHD/ Free Dos",392.2307692307692,USD,Asaxiy,392.2307692307692,https://asaxiy.uz/compare,Lenovo
16,"Ноутбук Lenovo V15 G4 I5-1342OH 8GB 512GB 15,6'' FHD LAN Port Business Black Bag",434.5384615384616,USD,Asaxiy,434.5384615384616,https://asaxiy.uz/compare,Lenovo
17,"Noutbuk Lenovo V15 | Intel Core i3-1115G4 | DDR4 4GB | SSD 256GB | 15.6"" IPS FHD 1920×1080 60 Hz | Nvidia MX350 2GB | Black",440.61538461538464,USD,Zoodmall,440.61538461538464,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
18,Ноутбук LENOVO IP SLIM 3 15ABR8-AMD R7-7730U 8GB 512GB FHD IPS 15.6,451.46153846153845,USD,Asaxiy,451.46153846153845,https://asaxiy.uz/compare,Lenovo
19,"Ноутбук Lenovo IdeaPad Slim 3 15IRH8 / Intel Core i5-13420H / DDR 8GB / SSD 512GB / Intel UHD Graphics / 15.6"" IPS",451.46153846153845,USD,Asaxiy,451.46153846153845,https://asaxiy.uz/compare,Lenovo
20,"Noutbuk Lenovo IdeaPad 3 15IAU7 | Intel Core i3-1215U | DDR4 4GB | SSD 256GB | 15.6"" IPS FHD 1920×1080 60 Hz | Intel UHD Graphics | Grey | (82RK00KYRK)",453.46153846153845,USD,Zoodmall,453.46153846153845,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
21,"Noutbuk Lenovo 15s-fq5000nia G2 ITL | Intel Core i3-1115G4 | DDR4 8GB | SSD 256GB | 15.6"" IPS FHD 1920×1080 60 Hz | Intel Iris Xe Graphics | Silver | (20VE00G4RU)",461.46153846153845,USD,Zoodmall,461.46153846153845,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
22,"Ноутбук Lenovo Thinkbook 16 R5-7430U / DDR 16GB / SSD 512GB / 16"" WUXGA / Arctic grey",484.5384615384616,USD,Asaxiy,484.5384615384616,https://asaxiy.uz/compare,Lenovo
23,"Noutbuk Lenovo IdeaPad 3 Slim 15AMN8 | AMD Ryzen R5-7520U | DDR5 8GB | SSD 256GB | 15.6"" IPS FHD 1920×1080 60 Hz | AMD Radeon Graphics | Grey | (82XQ004QRK)",496.0,USD,Zoodmall,496.0,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
24,"Noutbuk Lenovo V15 G2 ITL | Intel Core i3-1115G4 | DDR4 4GB | SSD 256GB | 15.6"" IPS FHD 1920×1080 60 Hz | Intel UHD Graphics | Silver",503.0769230769231,USD,Zoodmall,503.0769230769231,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
25,"Noutbuk Lenovo IdeaPad 3 Slim 15AMN8 | AMD Ryzen R5-7520U | DDR5 8GB | SSD 512GB | 15.6"" IPS FHD 1920×1080 60 Hz | AMD Radeon Graphics | Grey | (82XQ0057RK)",503.0769230769231,USD,Zoodmall,503.0769230769231,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
26,"Noutbuk Lenovo IdeaPad 5 | Intel Core i3-1005G1 | DDR4 4GB | SSD 256GB | 15.6"" IPS FHD 1920×1080 60 Hz | Intel Iris Xe Graphics | Grey",545.2307692307693,USD,Zoodmall,545.2307692307693,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
27,"Noutbuk Lenovo ThinkBook G2 ITL | Intel Core i3-1115G4 | DDR4 4GB | SSD 256GB | 15.6"" IPS FHD 1920×1080 60 Hz | Intel Iris Xe Graphics | Mineral grey",545.2307692307693,USD,Zoodmall,545.2307692307693,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
28,"Ноутбук LENOVO I5-1235U 16GB 512GB 2GB MX55O 15,6 FHD STORM GREY",605.3076923076923,USD,Asaxiy,605.3076923076923,https://asaxiy.uz/compare,Lenovo
29,LENOVO IP S3 I7-13620H 16GB 512GB FHD,615.3076923076923,USD,Asaxiy,615.3076923076923,https://asaxiy.uz/compare,Lenovo
30,"Noutbuk Lenovo IdeaPad 3 15ITL6 | Intel Core i5-1135G7 | DDR4 8GB | SSD 256GB | 15.6"" IPS FHD 1920×1080 60 Hz | Nvidia MX350 2GB | Grey | (82H800GRRK)",649.8461538461538,USD,Zoodmall,649.8461538461538,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
31,Моноблок Lenovo AIO 3 27ITL6 / I3-1115G4 / 8GB / 256GB / 27″,671.4615384615385,USD,Asaxiy,671.4615384615385,https://asaxiy.uz/compare,Lenovo
32,"Noutbuk Lenovo IdeaPad 3 | Intel Core i5-1235U | DDR4 4GB | SSD 256GB | 15.6"" IPS FHD 1920×1080 60 Hz | Intel Iris Xe Graphics | Arctic grey",693.0,USD,Zoodmall,693.0,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
33,"Noutbuk Lenovo ThinkBook G2-ITL | Intel Core i5-1135G7 | DDR4 8GB | SSD 256GB | 14"" IPS FHD 1920×1080 60 Hz | Intel Iris Xe Graphics | Grey",714.4615384615385,USD,Zoodmall,714.4615384615385,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
34,"Noutbuk Lenovo ThinkBook G4 IAP | Intel Core i3-1215U | DDR4 8GB | SSD 256GB | 15.6"" IPS FHD 1920×1080 60 Hz | Nvidia MX550 2GB | Grey | (21DJ0017RU)",714.4615384615385,USD,Zoodmall,714.4615384615385,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
35,"Noutbuk Lenovo V15 G2 ALC | AMD Ryzen R5-5500U | DDR4 8GB | SSD 256GB | 15.6"" IPS FHD 1920×1080 60 Hz | AMD Radeon Graphics | Black | (82KD002XRU)",722.6153846153846,USD,Zoodmall,722.6153846153846,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
36,"Noutbuk Lenovo IdeaPad 3 | Intel Core i5-1135G7 | DDR4 8GB | SSD 512GB | 15.6"" IPS FHD 1920×1080 60 Hz | Nvidia MX350 2GB | Grey",794.5769230769231,USD,Zoodmall,794.5769230769231,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
37,"Noutbuk Lenovo IdeaPad 3 15ITL6 | Intel Core i7-1165G7 | DDR4 8GB | SSD 256GB | 15.6"" IPS FHD 1920×1080 60 Hz | Nvidia MX350 2GB | Grey | (82H800GPRK)",812.5384615384615,USD,Zoodmall,812.5384615384615,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
38,"Noutbuk Lenovo V15 G3 IAP | Intel Core i7-1255U | DDR4 16GB | SSD 512GB | 15.6"" IPS FHD 1920×1080 60 Hz | Intel Iris Xe Graphics | Black | (82TT004ERU)",816.1538461538462,USD,Zoodmall,816.1538461538462,https://www.zoodmall.uz/product/27445623/simsiz-quloqchin-lenovo-live-pods-lp5/,Lenovo
39,"Ноутбук Lenovo LOQ Gaming, Core i5-13420H, DDR5 8GB, SSD 1TB, RTX3050 6GB 15.6"" FHD IPS 144Hz, Free Dos",818.3846153846154,USD,Asaxiy,818.3846153846154,https://asaxiy.uz/compare,Lenovo
